iter	Passed	Remaining
0	58	11571
1	93	9262
2	128	8417
3	165	8088
4	203	7932
5	235	7628
6	267	7383
7	300	7213
8	332	7053
9	362	6885
10	393	6753
11	426	6683
12	461	6632
13	493	6556
14	529	6531
15	561	6462
16	591	6365
17	624	6312
18	656	6257
19	687	6183
20	718	6123
21	746	6042
22	775	5971
23	805	5905
24	835	5849
25	864	5785
26	892	5719
27	921	5661
28	953	5620
29	985	5582
30	1013	5524
31	1040	5463
32	1071	5424
33	1104	5392
34	1135	5354
35	1166	5314
36	1199	5284
37	1229	5242
38	1259	5199
39	1290	5161
40	1320	5122
41	1354	5096
42	1387	5064
43	1416	5023
44	1447	4985
45	1479	4954
46	1514	4931
47	1548	4902
48	1580	4870
49	1615	4847
50	1646	4811
51	1676	4772
52	1710	4745
53	1743	4713
54	1775	4681
55	1806	4645
56	1839	4615
57	1871	4581
58	1904	4550
59	1936	4518
60	1968	4486
61	1997	4446
62	2028	4410
63	2060	4378
64	2094	4350
65	2129	4322
66	2164	4295
67	2196	4263
68	2225	4225
69	2254	4187
70	2285	4152
71	2321	4127
72	2357	4102
73	2394	4076
74	2430	4050
75	2461	4016
76	2491	3980
77	2521	3943
78	2553	3910
79	2588	3883
80	2624	3856
81	2665	3835
82	2698	3803
83	2729	3769
84	2761	3736
85	2798	3710
86	2833	3679
87	2864	3646
88	2896	3613
89	2928	3579
90	2958	3543
91	2988	3508
92	3019	3474
93	3051	3441
94	3093	3418
95	3127	3387
96	3161	3357
97	3196	3327
98	3232	3297
99	3265	3265
100	3296	3230
101	3325	3195
102	3355	3160
103	3387	3127
104	3419	3093
105	3459	3067
106	3495	3037
107	3529	3006
108	3582	2991
109	3626	2967
110	3660	2935
111	3707	2912
112	3744	2883
113	3783	2853
114	3826	2828
115	3868	2801
116	3905	2770
117	3939	2737
118	3973	2704
119	4007	2671
120	4040	2638
121	4075	2605
122	4109	2572
123	4144	2540
124	4179	2507
125	4212	2473
126	4243	2439
127	4282	2409
128	4317	2376
129	4349	2342
130	4378	2306
131	4406	2270
132	4438	2235
133	4471	2202
134	4501	2167
135	4533	2133
136	4568	2100
137	4601	2067
138	4632	2033
139	4662	1998
140	4690	1962
141	4719	1927
142	4750	1893
143	4782	1859
144	4811	1824
145	4837	1789
146	4865	1754
147	4895	1719
148	4921	1684
149	4947	1649
150	4976	1614
151	5005	1580
152	5036	1547
153	5066	1513
154	5096	1479
155	5124	1445
156	5155	1411
157	5187	1378
158	5217	1345
159	5245	1311
160	5275	1277
161	5300	1243
162	5335	1211
163	5367	1178
164	5398	1145
165	5429	1112
166	5460	1079
167	5496	1046
168	5526	1013
169	5556	980
170	5585	947
171	5616	914
172	5646	881
173	5673	847
174	5702	814
175	5733	781
176	5761	748
177	5791	715
178	5818	682
179	5843	649
180	5870	616
181	5898	583
182	5928	550
183	5957	518
184	5986	485
185	6016	452
186	6044	420
187	6074	387
188	6102	355
189	6129	322
190	6181	291
191	6218	259
192	6247	226
193	6284	194
194	6312	161
195	6343	129
196	6375	97
197	6405	64
198	6436	32
199	6470	0
